提名,著者,出版者,出版日期,单价,标准编码(ISBN)
奇妙的生命,古尔德,江苏科学技术出版社,2008-11,34.00元,9787534562105
全球不平等逸史,[塞尔维亚]布兰科·米兰诺维奇,中信出版集团股份有限公司,2019-9-1,58,9787521708332
美国的难题,(美)福布斯,中信出版社,2016-7,45,9787508662619
独自打保龄,[美]罗伯特·帕特南著,北京大学出版社,2011-1,66.00元,9787301179857
美国秩序的根基,[美]拉塞尔·柯克,江苏凤凰文艺出版社,2018-6,138.00元,9787559417794
谁是美国人？,塞缪尔?亨廷顿(SamuelHuntington),新华出版社,2010-1-1,38.00元,9787501190904
知识分子,[英国]保罗·约翰逊,江苏人民出版社,2003-11,26.00元,9787214024077
专家之死,[美]汤姆·尼科尔斯,中信出版社,2019-3-20,58,9787508696904
不平等社会,[美]沃尔特·沙伊德尔,中信出版集团股份有限公司,2019-6-1,98,9787521704495
告别伊甸园,[美]戴维·巴拉什,生活·读书·新知三联书店,2019-5,49元,9787108063410
邻人之妻,[美]盖伊·特立斯,上海人民出版社,2018-7,78.00元,9787208146594
我们为何结婚，又为何不忠,[美]海伦·费舍尔（HelenFisher）,中信出版集团,2020-2,68.00元,9787521709193
婚姻史,伊丽莎白?阿伯特,中央编译出版社,2014-4,49.80元,9787511720696
人口浪潮,[英]保罗·莫兰,中信出版社,2019-6-1,68.00元,9787521705324
伯林传,[加拿大]叶礼庭,译林出版社,2019-10,88.00,9787544779241
秩序,[美]彼得·T.李森,中信出版社,2018-12-31,59,9787508692944
至高权力,[美]杰夫·谢索,文汇出版社,2019-8,108.00,9787549627455
誓言,[美国]杰弗里·图宾,译林出版社,2019-8,88.00元,9787544776752
俾斯麦,[德]克里斯托弗·诺恩,社会科学文献出版社,2018-8,69.00,9787520125178
文字的力量,[美]马丁·普克纳,中信出版集团,2019-7,58.00,9787521704808
技术垄断,[美]尼尔?波斯曼,中信出版社,2019-4-1,58.00,9787521700497
秦汉帝国,[日本]西嶋定生,社会科学文献出版社,2017-4,89.00元,9787509795927
国家的视角,[美]詹姆斯·C.斯科特,社会科学文献出版社,2019-5,98.00,9787520145930
托马斯·克伦威尔,[英]特蕾西·博尔曼,社会科学文献出版社,2019-9,88.00元,9787520143387
日本：生存的艺术,[英]戴维?皮林,中信出版社,2019-12-25,69,9787521704846
水俣病,[美]蒂莫西·乔治（TimothyS.George）,中信出版社,2013-6-10,45.00元,9787508639420
日俄战争,[日]横手慎二,社会科学文献出版社,2019-4,49,9787520144964
第二次世界大战在亚洲及太平洋的起源,[美]入江昭,社会科学文献出版社,2015-12-1,49.00元,9787509781708
反对选举,[比利时]达维德·范雷布鲁克,社会科学文献出版社,2018-7,49.00元,9787520128780
掉队的拉美,[智]塞巴斯蒂安.爱德华兹,中信出版集团,2019-6-1,68,9787521703252
征服与革命中的阿拉伯人,[英]尤金·罗根,浙江人民出版社,2019-7-1,138.00,9787213092459
一战史,约翰·基根,北京大学出版社,2014-9,72.00,9787301245675
黑旗,[美]乔比·沃里克,中信出版社,2017-1,56.00元,9787508668512
缔造和平,[加]玛格丽特.麦克米伦,中信出版集团·新思文化,2018-3,98,9787508683027
战败者,[德]罗伯特·格瓦特,译林出版社,2017-10,68.00,9787544769471
1916：全球史,[英]基斯?杰弗里,海南出版社,2017-1,58.00,9787544369565
梦游者,[英]克里斯托弗·克拉克,中信出版社,2014-9,69.00,9787508646992
德皇威廉二世回忆录,[德]威廉二世(WILHELMII),华文全球史｜华文出版社,2019-1-1,115,9787507549843
敌人与邻居,[英]伊恩·布莱克,中信出版集团,2019-9,108.00元,9787521706635
巴黎和会与中国外交,唐启华,社会科学文献出版社,2014-7,59.00元,9787509759332
哈布斯堡王朝,[荷兰]彼得·贾德森(PieterM.Judson),中信出版集团股份有限公司,2017-8,79,9787508675220
1913,(英)查尔斯·埃默森,中信出版社·见识城邦,2017-9-1,98,9787508675718
细胞生命的礼赞,[美]刘易斯·托玛斯,湖南科学技术出版社,1992,平装4.70元；精装7.20元,9787535710666
雅尔塔,[美]沙希利·浦洛基,中信出版集团,2018-3,72,9787508681849
风暴眼,[美]戴维·奥布赖恩,上海人民出版社,2010-1,48.00元,9787208088818
病床边的陌生人,【美】戴维·J.罗思曼（DavidJ.Rothman）,中国社会科学出版社,2020-9,79.00元,9787520364201
走向火焰,多米尼克·利芬,社会科学文献出版社,2020-6,82,9787520161824
火与烬,[加拿大]叶礼庭,中央编译出版社,2017-9,38.00元,9787511733689
想太多的人类学家,[美]李相僖,天津科学技术出版社,2020-4,58.00元,9787557673802
想象的共同体,[美国]本尼迪克特·安德森,上海人民出版社,2005-4,24.00,9787208054028
发明民族主义,[英]大卫·A.贝尔,浙江大学出版社,2019-11,68.00元,9787308197953
法国资产阶级,[美]萨拉·梅萨,浙江大学出版社,2018-8-1,58.00元,9787308183277
自行车的回归,[法]弗雷德里克·赫兰,中国社会科学出版社,2018-4,59.00元,9787520321556
谁丢了美国,（美）安德鲁?杰克逊?奥肖内西,北京大学出版社,2016-8,72.00元,9787301273852
